,Time (d),NH4_meas_PCA (gNm3),NH4_pred_PCA (gN/m3)
1741,523.5,0.682896552,0.70168746
1742,523.5208333,0.671847434,0.6937173
1743,523.5416667,0.662502268,0.6855637
1744,523.5625,0.655140323,0.6780005
1745,523.5833333,0.649759718,0.6716313
1746,523.6041667,0.6462385860000001,0.6668895
1747,523.625,0.644342162,0.66412485
1748,523.6458333,0.6437263639999999,0.6631226
1749,523.6666667,0.643970446,0.66314465
1750,523.6875,0.644647359,0.663288
1751,523.7083333,0.645421599,0.66280824
1752,523.7291667,0.646063904,0.66127855
1753,523.75,0.646441454,0.65856254
1754,523.7708333,0.646483404,0.655396
1755,523.7916667,0.646146774,0.6529386
1756,523.8125,0.645390448,0.65176576
1757,523.8333333,0.644173562,0.6518894
1758,523.8541667,0.6424694670000001,0.6528084
1759,523.875,0.6402885420000001,0.6538443
1760,523.8958333,0.637705414,0.65434706
1761,523.9166667,0.634847708,0.65384233
1762,523.9375,0.631881493,0.65250915
1763,523.9583333,0.629023659,0.65103245
1764,523.9791667,0.626515964,0.6498855
1765,524.0,0.624561011,0.6491382
1766,524.0208333,0.623284291,0.6486512
1767,524.0416667,0.622703782,0.64825886
1768,524.0625,0.6227640170000001,0.6480004
1769,524.0833333,0.623377985,0.64807427
1770,524.1041667,0.624427434,0.6485497
1771,524.125,0.625783175,0.6492933
1772,524.1458333,0.627298472,0.6501891
1773,524.1666667,0.628814963,0.6511937
1774,524.1875,0.63018467,0.65221035
1775,524.2083333,0.631276089,0.6530651
1776,524.2291667,0.631991535,0.6535913
1777,524.25,0.6322680270000001,0.65368545
1778,524.2708333,0.632075351,0.65330505
1779,524.2916667,0.631407691,0.65243
1780,524.3125,0.63026473,0.65093654
1781,524.3333333,0.628641449,0.6486069
1782,524.3541667,0.62652976,0.6443452
1783,524.375,0.623926248,0.6367887
1784,524.3958333,0.6208422570000001,0.6275474
1785,524.4166667,0.617308171,0.61985564
1786,524.4375,0.613386192,0.6153682
1787,524.4583333,0.6091867320000001,0.61391395
1788,524.4791667,0.60487853,0.61384046
1789,524.5,0.600654561,0.613315
1790,524.5208333,0.596698188,0.6116206
1791,524.5416667,0.59316821,0.6090299
1792,524.5625,0.5901893579999999,0.60622513
1793,524.5833333,0.5878510220000001,0.6038328
1794,524.6041667,0.586193683,0.602184
1795,524.625,0.5851942489999999,0.60133094
1796,524.6458333,0.584774149,0.60122716
1797,524.6666667,0.584822847,0.6018236
1798,524.6875,0.585209874,0.60273653
1799,524.7083333,0.585803153,0.60328877
1800,524.7291667,0.586492944,0.6029777
1801,524.75,0.587202055,0.60168546
1802,524.7708333,0.587884028,0.6000989
1803,524.7916667,0.588514179,0.599275
1804,524.8125,0.58907754,0.59965533
1805,524.8333333,0.589560954,0.6010521
1806,524.8541667,0.5899473239999999,0.6029038
1807,524.875,0.590228509,0.6046098
1808,524.8958333,0.5904148610000001,0.6059732
1809,524.9166667,0.590540125,0.6072482
1810,524.9375,0.590661911,0.6085681
1811,524.9583333,0.590849466,0.60970837
1812,524.9791667,0.591169312,0.61059314
1813,525.0,0.591683359,0.61148727
1814,525.0208333,0.592437577,0.61259013
1815,525.0416667,0.5934646029999999,0.61385286
1816,525.0625,0.594780003,0.615361
1817,525.0833333,0.596370023,0.61742
1818,525.1041667,0.5981679329999999,0.6199975
1819,525.125,0.600072991,0.6226394
1820,525.1458333,0.601977655,0.6249707
1821,525.1666667,0.603791701,0.626881
1822,525.1875,0.605451063,0.62844306
1823,525.2083333,0.606927972,0.62976795
1824,525.2291667,0.6082085110000001,0.63095653
1825,525.25,0.609285384,0.6320825
1826,525.2708333,0.610133419,0.63310224
1827,525.2916667,0.610719714,0.63383394
1828,525.3125,0.611003885,0.63392574
1829,525.3333333,0.610934766,0.6329425
1830,525.3541667,0.610458403,0.62958294
1831,525.375,0.609520549,0.6223848
1832,525.3958333,0.608064716,0.613532
1833,525.4166667,0.606061227,0.6072509
1834,525.4375,0.603551551,0.60523766
1835,525.4583333,0.6006498579999999,0.6064419
1836,525.4791667,0.597530945,0.60865384
1837,525.5,0.5944364289999999,0.610038
1838,525.5208333,0.59167044,0.6101221
1839,525.5416667,0.589573705,0.6094773
1840,525.5625,0.588449204,0.60886216
1841,525.5833333,0.588475803,0.6087275
1842,525.6041667,0.589699461,0.6093781
1843,525.625,0.5920714260000001,0.6110991
1844,525.6458333,0.595457665,0.6140178
1845,525.6666667,0.59965786,0.61804587
1846,525.6875,0.604397485,0.6225814
1847,525.7083333,0.609406088,0.6266709
1848,525.7291667,0.614470217,0.6296669
1849,525.75,0.61945052,0.6314863
1850,525.7708333,0.624271307,0.6332137
1851,525.7916667,0.628851536,0.63648194
1852,525.8125,0.6330734,0.64153016
1853,525.8333333,0.636839129,0.6472222
1854,525.8541667,0.640131087,0.65234005
1855,525.875,0.643075305,0.6562476
1856,525.8958333,0.645960514,0.659103
1857,525.9166667,0.649174817,0.66159403
1858,525.9375,0.653087318,0.66431034
1859,525.9583333,0.65794609,0.6674862
1860,525.9791667,0.663853939,0.67150784
1861,526.0,0.67070862,0.67700845
1862,526.0208333,0.678187469,0.6838486
1863,526.0416667,0.68589643,0.6911145
1864,526.0625,0.693524809,0.6983698
1865,526.0833333,0.700804592,0.7059011
1866,526.1041667,0.70750062,0.71351016
1867,526.125,0.713498706,0.72036994
1868,526.1458333,0.718798623,0.72602034
1869,526.1666667,0.72346254,0.73060143
1870,526.1875,0.727575452,0.734745
1871,526.2083333,0.731168011,0.73919666
1872,526.2291667,0.734174683,0.7438352
1873,526.25,0.736465068,0.74780947
1874,526.2708333,0.7378825200000001,0.7506934
1875,526.2916667,0.738275725,0.7526657
1876,526.3125,0.737536456,0.7537047
1877,526.3333333,0.735618678,0.7533821
1878,526.3541667,0.7325555690000001,0.7496254
1879,526.375,0.728424176,0.7400749
1880,526.3958333,0.7233231729999999,0.7273842
1881,526.4166667,0.7174529909999999,0.716838
