,Time (d),PO4_meas_PCA (gPm3),PO4_pred_PCA (gP/m3)
486,497.3541667,2.750927975,3.0304446
487,497.375,2.780382784,3.0519023
488,497.39583330000005,2.812112957,3.0789597
489,497.4166667,2.846102487,3.1140575
490,497.4375,2.881684636,3.1555872
491,497.45833330000005,2.918078369,3.199536
492,497.4791667,2.954721469,3.2415774
493,497.5,2.991227423,3.27843
494,497.52083330000005,3.0272321970000005,3.3094895
495,497.5416667,3.062118551,3.33595
496,497.5625,3.0950395910000004,3.3598664
497,497.58333330000005,3.1252006920000004,3.3826995
498,497.6041667,3.1520738660000007,3.4044688
499,497.625,3.175290692,3.4244695
500,497.64583330000005,3.194534284,3.4420087
501,497.6666667,3.209805537,3.4565995
502,497.6875,3.2214169910000003,3.4678533
503,497.70833330000005,3.2294961750000004,3.4756942
504,497.7291667,3.234428087,3.4814448
505,497.75,3.23678028,3.487306
506,497.77083330000005,3.2371555209999996,3.494075
507,497.7916667,3.236097849,3.5012858
508,497.8125,3.234113134,3.5080175
509,497.83333330000005,3.2316400170000006,3.51379
510,497.8541667,3.2290686400000004,3.5191464
511,497.875,3.2266983910000007,3.5251255
512,497.89583330000005,3.2247244979999996,3.5316315
513,497.9166667,3.22325622,3.5377083
514,497.9375,3.222325702,3.543007
515,497.95833330000005,3.221921362,3.5477755
516,497.9791667,3.221985511,3.5515578
517,498.0,3.2225560510000006,3.5533483
518,498.02083330000005,3.223708443,3.5536034
519,498.0416667,3.225596725,3.5536094
520,498.0625,3.2283927909999997,3.5541005
521,498.08333330000005,3.23229155,3.5551646
522,498.1041667,3.23744559,3.5571833
523,498.125,3.243905634,3.560695
524,498.14583330000005,3.251701628,3.565827
525,498.1666667,3.260817696,3.5724308
526,498.1875,3.271225892,3.5802276
527,498.20833330000005,3.282928285,3.588948
528,498.2291667,3.2960038200000006,3.5980818
529,498.25,3.31055282,3.6071746
530,498.27083330000005,3.3266291069999996,3.6167667
531,498.2916667,3.344287675,3.6278129
532,498.3125,3.363624747,3.6406968
533,498.33333330000005,3.3848312330000003,3.6552763
534,498.3541667,3.408274238,3.6707442
535,498.375,3.4342746849999997,3.6866057
536,498.39583330000005,3.4630120689999995,3.7064273
537,498.4166667,3.494423969,3.7354038
538,498.4375,3.5281825670000004,3.773075
539,498.45833330000005,3.563896199,3.8150373
540,498.4791667,3.6012057929999997,3.856299
541,498.5,3.6396278690000003,3.8932803
542,498.52083330000005,3.678423295,3.9258444
543,498.5416667,3.716662484,3.9556918
544,498.5625,3.753308637,3.9844933
545,498.58333330000005,3.787559613,4.01287
546,498.6041667,3.818893959,4.0401974
547,498.625,3.84693625,4.0653663
548,498.64583330000005,3.871409202,4.0875506
549,498.6666667,3.892146438,4.106385
550,498.6875,3.90916111,4.122022
551,498.70833330000005,3.922740507,4.1348643
552,498.7291667,3.93345354,4.1453648
553,498.75,3.941822058,4.154159
554,498.77083330000005,3.948388929,4.1625433
555,498.7916667,3.9536548440000003,4.1720047
556,498.8125,3.958079281,4.182146
557,498.83333330000005,3.962027938,4.1914682
558,498.8541667,3.9657380159999995,4.199516
559,498.875,3.969358902,4.206875
560,498.89583330000005,3.9729488269999997,4.2138596
561,498.9166667,3.9764713769999998,4.2203264
562,498.9375,3.9797998780000006,4.226496
563,498.95833330000005,3.982764162,4.2327757
564,498.9791667,3.9852003459999996,4.2388763
565,499.0,3.9869965300000003,4.244007
566,499.02083330000005,3.9881155550000003,4.247153
567,499.0416667,3.988621842,4.247522
568,499.0625,3.988705164,4.245434
569,499.08333330000005,3.9887134170000005,4.2418566
570,499.1041667,3.9891208309999997,4.238382
571,499.125,3.990427393,4.2364397
572,499.14583330000005,3.993081236,4.2360983
573,499.1666667,3.997414372,4.236733
574,499.1875,4.003568475,4.2384596
575,499.20833330000005,4.011510262,4.2418694
576,499.2291667,4.021130826,4.2470293
577,499.25,4.032323656,4.253573
578,499.27083330000005,4.0450208860000005,4.261144
579,499.2916667,4.059230383,4.269545
580,499.3125,4.075006692,4.278588
581,499.33333330000005,4.09256589,4.2880516
582,499.3541667,4.112274627,4.297358
583,499.375,4.134493095,4.306373
584,499.39583330000005,4.15936066,4.3198104
585,499.4166667,4.186818506,4.343763
586,499.4375,4.216628477,4.3775377
587,499.45833330000005,4.248465102,4.41606
588,499.4791667,4.281869807,4.4538207
589,499.5,4.316000179,4.4870787
590,499.52083330000005,4.349599423,4.5160503
591,499.5416667,4.3814392510000015,4.5426292
592,499.5625,4.410558818,4.5677667
593,499.58333330000005,4.436229743999999,4.591246
594,499.6041667,4.457965574,4.612181
595,499.625,4.475369741000001,4.629727
596,499.64583330000005,4.488214001,4.6435695
597,499.6666667,4.496733149,4.653802
598,499.6875,4.501338005,4.660411
599,499.70833330000005,4.502663797,4.663245
600,499.7291667,4.501466218,4.663149
601,499.75,4.498512486,4.6615953
602,499.77083330000005,4.494470697,4.6596723
603,499.7916667,4.489918726,4.6579585
604,499.8125,4.485373428,4.657048
605,499.83333330000005,4.481180223,4.6574893
606,499.8541667,4.477470956,4.6586385
607,499.875,4.474226317,4.659194
608,499.89583330000005,4.471278779,4.658604
609,499.9166667,4.46830595,4.6570206
610,499.9375,4.464894587,4.655314
611,499.95833330000005,4.460635384,4.654228
612,499.9791667,4.455194452,4.653268
613,500.0,4.448336386,4.651275
614,500.02083330000005,4.43993331,4.647478
615,500.0416667,4.429985764,4.6416698
616,500.0625,4.418634224,4.6338954
617,500.08333330000005,4.406249194,4.624261
618,500.1041667,4.393311094,4.6129193
619,500.125,4.380503191,4.600091
620,500.14583330000005,4.368641748,4.5867105
621,500.1666667,4.358527728,4.5740576
622,500.1875,4.35083002,4.56311
623,500.20833330000005,4.346022095,4.5544405
624,500.2291667,4.34438206,4.548301
625,500.25,4.345989667,4.5447545
626,500.27083330000005,4.35077926,4.5435677
627,500.2916667,4.358584127,4.5443993
628,500.3125,4.369177201,4.547204
629,500.33333330000005,4.38223765,4.5519905
630,500.3541667,4.3977174130000005,4.5577354
631,500.375,4.41561537,4.563537
632,500.39583330000005,4.435830558,4.5731964
633,500.4166667,4.458173365,4.592437
634,500.4375,4.482321538,4.62105
635,500.45833330000005,4.507898451,4.6545863
636,500.4791667,4.534538863,4.687822
637,500.5,4.561729228,4.7169847
638,500.52083330000005,4.588774462,4.741804
639,500.5416667,4.614979736,4.763879
640,500.5625,4.639791322,4.784243
641,500.58333330000005,4.66267289,4.802942
642,500.6041667,4.683093285,4.8197575
643,500.625,4.700609144,4.8344936
644,500.64583330000005,4.714960323,4.8471107
645,500.6666667,4.726135591,4.857621
646,500.6875,4.734393161,4.8656254
647,500.70833330000005,4.740165276,4.8706656
648,500.7291667,4.74379274,4.872982
649,500.75,4.745642988,4.8733053
650,500.77083330000005,4.746052301000001,4.8730426
651,500.7916667,4.745332112,4.8735514
652,500.8125,4.743782943,4.875007
653,500.83333330000005,4.741644279,4.8768234
654,500.8541667,4.739039978,4.8781824
655,500.875,4.7359628460000005,4.8785157
656,500.89583330000005,4.732282993,4.8781214
657,500.9166667,4.727761397,4.877551
658,500.9375,4.722090486,4.8764367
659,500.95833330000005,4.714993835,4.873832
660,500.9791667,4.706307093,4.869066
661,501.0,4.696101274,4.86192
662,501.02083330000005,4.684649107,4.8528447
663,501.0416667,4.672502751000001,4.8425565
664,501.0625,4.660360278,4.8317947
665,501.08333330000005,4.6489642710000005,4.8211484
666,501.1041667,4.638992623,4.810874
667,501.125,4.631040543,4.801101
668,501.14583330000005,4.625600775,4.792349
669,501.1666667,4.6230344080000005,4.7853312
670,501.1875,4.623578763,4.780667
671,501.20833330000005,4.627361253,4.7787323
672,501.2291667,4.634413114,4.7796507
673,501.25,4.644687086,4.7833657
674,501.27083330000005,4.658090694,4.7896214
675,501.2916667,4.674568444,4.7980547
676,501.3125,4.694220607,4.8077717
677,501.33333330000005,4.717134693999999,4.817968
678,501.3541667,4.743196127,4.8289256
679,501.375,4.772191086,4.841493
680,501.39583330000005,4.803947778,4.859982
681,501.4166667,4.838069829,4.8896093
682,501.4375,4.8739520380000005,4.928913
683,501.45833330000005,4.910798898,4.9725175
684,501.4791667,4.947758091,5.0148335
685,501.5,4.983995171,5.0520816
686,501.52083330000005,5.018698416,5.0838494
687,501.5416667,5.051152455,5.111398
688,501.5625,5.080675882,5.1359167
689,501.58333330000005,5.106675088,5.1577573
690,501.6041667,5.128689545,5.1768794
691,501.625,5.146367843,5.193109
692,501.64583330000005,5.159874678,5.2062793
693,501.6666667,5.16937809,5.2165513
694,501.6875,5.175296509,5.2233715
695,501.70833330000005,5.178066965,5.226243
696,501.7291667,5.178120161,5.225872
697,501.75,5.176011218999999,5.223626
698,501.77083330000005,5.172208546,5.220769
699,501.7916667,5.167205638,5.2181277
700,501.8125,5.161563121,5.2159195
701,501.83333330000005,5.155794402,5.2140546
702,501.8541667,5.150271826,5.212237
703,501.875,5.1451986430000005,5.2102427
704,501.89583330000005,5.140589498,5.2081876
705,501.9166667,5.136288379,5.2062545
706,501.9375,5.13201742,5.2042613
707,501.95833330000005,5.127509497,5.2018046
708,501.9791667,5.122616739,5.198699
709,502.0,5.117328277,5.1949434
710,502.02083330000005,5.111788126,5.190383
711,502.0416667,5.1063226880000006,5.1848993
712,502.0625,5.101400968,5.1789145
713,502.08333330000005,5.097551061,5.173095
714,502.1041667,5.095218254,5.1679235
715,502.125,5.094793642,5.163699
716,502.14583330000005,5.0965203930000005,5.160935
717,502.1666667,5.10047011,5.160092
718,502.1875,5.106589613,5.161181
719,502.20833330000005,5.114757123,5.1639504
720,502.2291667,5.124821009,5.168098
721,502.25,5.136599762,5.1734023
722,502.27083330000005,5.149879813,5.1799874
723,502.2916667,5.164498313,5.1879635
724,502.3125,5.180469018,5.1967263
725,502.33333330000005,5.197901872,5.2054806
726,502.3541667,5.217007551,5.213303
727,502.375,5.237851941000001,5.2200613
728,502.39583330000005,5.260218315,5.23074
729,502.4166667,5.283755402,5.2511015
730,502.4375,5.308033203,5.279977
731,502.45833330000005,5.332605597,5.312357
732,502.4791667,5.356976337,5.3428984
733,502.5,5.380463442999999,5.3679957
734,502.52083330000005,5.40217523,5.387543
735,502.5416667,5.421216115,5.4029837
736,502.5625,5.436688453,5.4154477
737,502.58333330000005,5.447827384,5.425095
738,502.6041667,5.454173346,5.4319158
739,502.625,5.455617021,5.4358745
740,502.64583330000005,5.452316497999999,5.4365544
741,502.6666667,5.444526463,5.4335127
742,502.6875,5.432658176,5.42635
743,502.70833330000005,5.417174879,5.415009
744,502.7291667,5.398662442000001,5.4001393
745,502.75,5.377811763,5.382851
746,502.77083330000005,5.355382495,5.3645988
747,502.7916667,5.332166552,5.3467045
748,502.8125,5.308930531000001,5.3292327
749,502.83333330000005,5.286516098,5.3116837
750,502.8541667,5.26580067,5.294742
751,502.875,5.247141025,5.279707
752,502.89583330000005,5.230354168,5.2665763
753,502.9166667,5.215055729,5.254377
754,502.9375,5.20079323,5.2427597
755,502.95833330000005,5.186997575,5.2318273
756,502.9791667,5.173078063,5.220957
757,503.0,5.158705368,5.2091546
758,503.02083330000005,5.143948838,5.1965523
759,503.0416667,5.129075722,5.1839747
760,503.0625,5.114405136,5.1717334
761,503.08333330000005,5.100271763,5.1597147
762,503.1041667,5.086996526,5.147845
763,503.125,5.074845337,5.136228
764,503.14583330000005,5.064053399,5.125091
765,503.1666667,5.054837482,5.1147084
766,503.1875,5.047348653999999,5.105464
767,503.20833330000005,5.041757213,5.0976825
768,503.2291667,5.03820688,5.091536
769,503.25,5.0367414880000005,5.087053
770,503.27083330000005,5.037475932,5.0841646
771,503.2916667,5.040435312,5.082869
772,503.3125,5.045601651,5.082834
773,503.33333330000005,5.0529642,5.0835514
774,503.3541667,5.062512691,5.084444
775,503.375,5.074315558,5.0852633
776,503.39583330000005,5.08844252,5.089412
777,503.4166667,5.104904482,5.1020403
778,503.4375,5.123514467,5.123479
779,503.45833330000005,5.1438912530000005,5.1502247
780,503.4791667,5.165495657,5.1778336
781,503.5,5.187799603999999,5.2028813
782,503.52083330000005,5.210336197,5.2243595
783,503.5416667,5.232497916,5.2428365
784,503.5625,5.2534652,5.2596283
785,503.58333330000005,5.272543765,5.2756
786,503.6041667,5.289341033,5.290524
787,503.625,5.303604649,5.3036585
788,503.64583330000005,5.315162025,5.314425
789,503.6666667,5.323947036,5.3225923
790,503.6875,5.330052105,5.328264
791,503.70833330000005,5.33376035,5.331686
792,503.7291667,5.335490182,5.3331423
793,503.75,5.335614574,5.333056
794,503.77083330000005,5.33448174,5.3325076
795,503.7916667,5.332403467,5.332816
796,503.8125,5.329638711,5.3341045
797,503.83333330000005,5.326391438,5.335607
798,503.8541667,5.322833773999999,5.3363953
799,503.875,5.319095615,5.335858
800,503.89583330000005,5.315286765,5.3339663
801,503.9166667,5.3114848210000005,5.3310328
802,503.9375,5.307723909,5.327761
803,503.95833330000005,5.303974232,5.32481
804,503.9791667,5.300139618999999,5.322425
805,504.0,5.296059608,5.3205056
806,504.02083330000005,5.291542827,5.3186884
807,504.0416667,5.286395401,5.31658
808,504.0625,5.280477268,5.3137965
809,504.08333330000005,5.2737519310000005,5.310058
810,504.1041667,5.266321121,5.3052506
811,504.125,5.258396377,5.299392
812,504.14583330000005,5.250259539,5.2922564
813,504.1666667,5.242357285,5.283594
814,504.1875,5.23531417,5.274396
815,504.20833330000005,5.229721973,5.2662334
816,504.2291667,5.22601353,5.259855
817,504.25,5.224504953,5.2552905
818,504.27083330000005,5.225289033999999,5.2525063
819,504.2916667,5.228272347,5.251455
820,504.3125,5.233316295,5.251691
821,504.33333330000005,5.240158882,5.252551
822,504.3541667,5.248604267,5.252974
823,504.375,5.258493986,5.252293
824,504.39583330000005,5.269703753,5.2544904
825,504.4166667,5.282131277,5.2656994
826,504.4375,5.295610658,5.2861366
827,504.45833330000005,5.309958768,5.31157
828,504.4791667,5.324979381,5.3366804
829,504.5,5.340367006,5.3574634
830,504.52083330000005,5.355652647,5.3733363
831,504.5416667,5.370159228,5.3857374
832,504.5625,5.383077341,5.39624
833,504.58333330000005,5.39357378,5.405511
834,504.6041667,5.400966133,5.413463
835,504.625,5.404776287000001,5.4196706
836,504.64583330000005,5.404727495,5.4231434
837,504.6666667,5.4006526410000015,5.4228454
838,504.6875,5.392640532000001,5.41853
839,504.70833330000005,5.381077461,5.410589
840,504.7291667,5.366326036999999,5.399411
841,504.75,5.348791467,5.385298
842,504.77083330000005,5.329006812,5.369501
843,504.7916667,5.307628643999999,5.35367
844,504.8125,5.285369596000001,5.338463
845,504.83333330000005,5.262728737,5.3237553
846,504.8541667,5.239859137,5.3086557
847,504.875,5.216847589,5.292157
848,504.89583330000005,5.1938029000000006,5.2744484
