,Time (d),Biogas_meas_PCA (m3/d),Biogas_pred_PCA (m3/d)
5191,595.375,15128.47256,15086.354
5192,595.3958332999998,15125.17632,15074.476
5193,595.4166667000002,15121.80339,15062.9375
5194,595.4375,15118.174830000002,15054.748
5195,595.4583332999998,15114.29253,15049.771
5196,595.4791667000002,15110.52909,15046.489
5197,595.5,15106.9815,15043.937
5198,595.5208332999998,15103.63668,15041.524
5199,595.5416667000002,15100.13182,15039.044
5200,595.5625,15096.592369999997,15036.058
5201,595.5833332999998,15092.92933,15032.63
5202,595.6041667000002,15089.01679,15029.346
5203,595.625,15085.33297,15027.086
5204,595.6458332999998,15081.49442,15026.332
5205,595.6666667000002,15077.51825,15025.976
5206,595.6875,15074.1115,15024.659
5207,595.7083332999998,15070.72039,15021.865
5208,595.7291667000002,15067.378680000002,15016.806
5209,595.75,15063.975669999998,15009.801
5210,595.7708332999998,15060.8783,15002.226
5211,595.7916667000002,15058.17984,14996.387
5212,595.8125,15056.016269999998,14992.725
5213,595.8333332999998,15053.97647,14990.42
5214,595.8541667000002,15051.7851,14988.488
5215,595.875,15049.52071,14986.719
5216,595.8958332999998,15047.511519999998,14985.309
5217,595.9166667000002,15045.34386,14984.536
5218,595.9375,15043.83034,14983.785
5219,595.9583332999998,15042.53957,14983.601
5220,595.9791667000002,15041.42374,14983.878
5221,596.0,15040.29811,14985.078
5222,596.0208332999998,15039.4419,14986.983
