,Time (d),NH4_meas_AutoML (gN/m3),NH4_pred_AutoML (gN/m3)
3212,554.1458332999998,14772.76502,14662.321
3213,554.1666667000002,14775.20523,14666.29
3214,554.1875,14777.87054,14669.926
3215,554.2083332999998,14780.74708,14674.023
3216,554.2291667000002,14783.120030000002,14678.432
3217,554.25,14786.28357,14682.213
3218,554.2708332999998,14788.76768,14686.577
3219,554.2916667000002,14791.53085,14690.313
3220,554.3125,14794.2596,14694.101
3221,554.3333332999998,14796.697430000002,14697.031
3222,554.3541667000002,14799.0606,14697.389
3223,554.375,14801.62433,14694.005
3224,554.3958332999998,14804.4708,14688.675
3225,554.4166667000002,14807.90225,14684.271
3226,554.4375,14810.88919,14682.828
3227,554.4583332999998,14813.763,14683.685
3228,554.4791667000002,14816.88424,14686.141
3229,554.5,14820.11421,14689.292
3230,554.5208332999998,14823.08997,14692.924
3231,554.5416667000002,14826.50856,14697.358
3232,554.5625,14829.84263,14702.681
3233,554.5833332999998,14833.66407,14707.149
3234,554.6041667000002,14837.36565,14711.023
3235,554.625,14841.00556,14714.176
3236,554.6458332999998,14844.617069999998,14717.186
3237,554.6666667000002,14848.294130000002,14720.372
3238,554.6875,14851.7813,14723.825
3239,554.7083332999998,14855.8587,14727.151
3240,554.7291667000002,14859.60522,14730.617
3241,554.75,14863.10459,14732.872
3242,554.7708332999998,14867.06291,14734.845
3243,554.7916667000002,14870.911430000002,14738.668
3244,554.8125,14875.63736,14743.815
3245,554.8333332999998,14879.91074,14750.24
3246,554.8541667000002,14884.59829,14755.669
3247,554.875,14890.3992,14760.418
3248,554.8958332999998,14895.70282,14765.372
3249,554.9166667000002,14900.47621,14769.463
3250,554.9375,14905.54748,14773.44
3251,554.9583332999998,14910.97995,14778.836
3252,554.9791667000002,14916.016480000002,14785.301
3253,555.0,14921.84166,14791.195
3254,555.0208332999998,14927.56606,14797.423
3255,555.0416667000002,14933.75491,14803.459
3256,555.0625,14940.305380000002,14810.407
3257,555.0833332999998,14946.67902,14818.562
3258,555.1041667000002,14952.57339,14826.925
3259,555.125,14958.5866,14834.462
3260,555.1458332999998,14964.30454,14841.678
3261,555.1666667000002,14970.2104,14848.547
3262,555.1875,14976.080719999998,14855.722
3263,555.2083332999998,14981.67179,14862.967
3264,555.2291667000002,14987.32102,14870.048
3265,555.25,14992.43605,14877.289
3266,555.2708332999998,14997.31919,14884.063
3267,555.2916667000002,15001.92827,14890.557
3268,555.3125,15006.336,14896.382
3269,555.3333332999998,15010.51393,14901.1
3270,555.3541667000002,15014.38721,14903.599
3271,555.375,15018.04879,14902.905
3272,555.3958332999998,15021.73289,14900.745
3273,555.4166667000002,15025.46123,14899.893
3274,555.4375,15028.98102,14901.649
3275,555.4583332999998,15032.15779,14905.688
3276,555.4791667000002,15035.04009,14910.821
3277,555.5,15037.82465,14916.008
3278,555.5208332999998,15040.97241,14920.533
3279,555.5416667000002,15044.45483,14924.426
3280,555.5625,15047.83831,14928.084
3281,555.5833332999998,15050.90956,14931.692
3282,555.6041667000002,15053.68956,14935.133
3283,555.625,15056.39953,14938.197
3284,555.6458332999998,15059.10496,14941.005
3285,555.6666667000002,15061.98859,14943.679
3286,555.6875,15065.072080000002,14946.439
3287,555.7083332999998,15068.3657,14949.294
3288,555.7291667000002,15071.853980000002,14951.929
3289,555.75,15075.43909,14953.918
3290,555.7708332999998,15079.43257,14955.424
3291,555.7916667000002,15084.07772,14957.414
3292,555.8125,15089.11186,14960.649
3293,555.8333332999998,15094.47607,14965.1045
3294,555.8541667000002,15098.837419999998,14970.728
3295,555.875,15103.24429,14976.129
3296,555.8958332999998,15108.3232,14981.86
3297,555.9166667000002,15113.65398,14988.072
