,Time (d),Biogas_meas_GA (m3/d),Biogas_pred_GA (m3/d)
387,495.2916667,16180.33153,16209.757
388,495.3125,16143.841179999998,16172.715
389,495.33333330000005,16107.64216,16133.997
390,495.3541667,16069.064240000002,16092.175
391,495.375,16030.316919999997,16042.479
392,495.39583330000005,15990.83229,15990.325
393,495.4166667,15951.679649999998,15939.826
394,495.4375,15913.06329,15893.863
395,495.45833330000005,15872.173680000002,15852.122
396,495.4791667,15830.79341,15810.004
397,495.5,15789.3017,15767.686
398,495.52083330000005,15750.13846,15725.05
399,495.5416667,15708.12275,15684.843
400,495.5625,15670.484519999998,15642.132
401,495.58333330000005,15628.10695,15604.199
402,495.6041667,15587.3888,15561.708
403,495.625,15547.02126,15520.936
404,495.64583330000005,15507.36359,15480.426
405,495.6666667,15467.57294,15440.359
406,495.6875,15427.35339,15399.711
407,495.70833330000005,15389.53074,15358.024
408,495.7291667,15350.66785,15317.724
409,495.75,15311.84581,15275.073
410,495.77083330000005,15272.990930000002,15232.279
411,495.7916667,15236.14039,15190.894
412,495.8125,15199.32835,15153.235
413,495.83333330000005,15162.72843,15116.69
414,495.8541667,15126.92929,15080.579
415,495.875,15091.1354,15044.885
416,495.89583330000005,15055.78007,15008.799
417,495.9166667,15020.727019999998,14973.071
418,495.9375,14987.40851,14937.8
419,495.95833330000005,14953.32242,14904.42
420,495.9791667,14919.732780000002,14870.693
421,496.0,14887.48929,14838.207
422,496.02083330000005,14855.90278,14807.776
423,496.0416667,14823.66801,14778.456
424,496.0625,14792.603969999998,14748.618
425,496.08333330000005,14761.34511,14719.734
426,496.1041667,14730.946719999998,14690.49
427,496.125,14699.87961,14662.1045
428,496.14583330000005,14669.8961,14633.538
429,496.1666667,14641.03801,14606.922
430,496.1875,14611.30289,14582.102
431,496.20833330000005,14582.52968,14556.584
432,496.2291667,14553.1653,14531.861
433,496.25,14524.80379,14506.569
434,496.27083330000005,14496.26781,14482.08
435,496.2916667,14467.60633,14457.014
436,496.3125,14439.81924,14431.344
437,496.33333330000005,14412.701,14405.857
438,496.3541667,14385.57703,14377.978
439,496.375,14358.34487,14343.741
440,496.39583330000005,14332.180369999998,14304.729
441,496.4166667,14306.1703,14267.64
442,496.4375,14281.05505,14235.802
443,496.45833330000005,14255.67272,14210.48
444,496.4791667,14231.104630000002,14188.341
445,496.5,14206.6762,14167.732
446,496.52083330000005,14183.12691,14146.98
447,496.5416667,14159.38792,14127.102
