,Time (d),Biogas_meas_Pearson (m3/d),Biogas_pred_Pearson (m3/d)
620,513.0833333,15043.19221,14903.006
621,513.125,15049.47119,14909.3125
622,513.1666667,15056.22648,14915.491
623,513.2083333,15062.43136,14922.165
624,513.25,15067.9757,14928.092
625,513.2916667,15072.69862,14933.256
626,513.3333333,15077.89946,14937.684
627,513.375,15083.236030000002,14943.124
628,513.4166667,15087.77049,14948.558
629,513.4583333,15091.47141,14952.855
630,513.5,15095.01363,14955.892
631,513.5416667,15099.01786,14958.599
632,513.5833333,15103.57406,14962.065
633,513.625,15108.971769999998,14966.294
634,513.6666667,15113.73621,14971.733
635,513.7083333,15118.08894,14976.206
636,513.75,15123.24441,14980.392
637,513.7916667,15128.77947,14985.804
638,513.8333333,15134.76521,14991.286
639,513.875,15140.99464,14997.337
640,513.9166667,15147.7354,15003.194
641,513.9583333,15155.68621,15009.799
642,514.0,15163.66103,15017.637
643,514.0416667,15171.34649,15025.195
644,514.0833333,15178.66089,15032.444
645,514.125,15186.32242,15039.274
646,514.1666667,15193.39087,15046.503
647,514.2083333,15199.60426,15053.097
648,514.25,15204.76453,15058.819
649,514.2916667,15208.78261,15063.471
650,514.3333333,15212.76992,15067.086
651,514.375,15216.92216,15071.218
652,514.4166667,15220.62431,15075.578
653,514.4583333,15223.656180000002,15079.283
654,514.5,15227.00607,15081.911
655,514.5416667,15230.2449,15084.924
656,514.5833333,15233.12719,15087.4795
657,514.625,15237.14405,15089.917
658,514.6666667,15241.58268,15094.078
659,514.7083333,15245.60929,15098.434
660,514.75,15249.70813,15102.517
661,514.7916667,15254.33971,15106.692
662,514.8333333,15260.46066,15111.678
663,514.875,15266.49335,15118.251
664,514.9166667,15272.377530000002,15124.098
665,514.9583333,15278.98046,15129.755
666,515.0,15285.85183,15136.151
667,515.0416667,15293.475380000002,15142.7295
668,515.0833333,15301.00905,15150.383
669,515.125,15308.47539,15157.577
670,515.1666667,15316.040319999998,15164.887
671,515.2083333,15323.72366,15172.405
672,515.25,15330.49366,15180.118
673,515.2916667,15335.86077,15186.376
674,515.3333333,15341.38929,15191.315
675,515.375,15347.08767,15196.885
676,515.4166667,15353.07462,15202.814
677,515.4583333,15358.812080000003,15209.203
678,515.5,15363.84186,15214.588
679,515.5416667,15368.4934,15218.821
680,515.5833333,15373.57276,15222.641
681,515.625,15379.604980000002,15227.474
682,515.6666667,15385.175,15233.651
683,515.7083333,15390.97615,15239.28
684,515.75,15396.90937,15245.756
685,515.7916667,15402.38451,15251.998
686,515.8333333,15408.50955,15257.654
687,515.875,15415.27342,15264.043
688,515.9166667,15421.9549,15270.833
689,515.9583333,15428.3868,15277.211
690,516.0,15434.72619,15283.139
691,516.0416667,15441.05209,15289.0625
692,516.0833333,15446.84225,15295.017
693,516.125,15452.48267,15300.498
694,516.1666667,15456.76308,15306.032
695,516.2083333,15459.338719999998,15309.657
696,516.25,15460.71255,15311.388
697,516.2916667,15460.02712,15312.074
698,516.3333333,15458.762519999998,15310.5
699,516.375,15457.031469999998,15308.944
700,516.4166667,15453.80102,15307.379
701,516.4583333,15448.83839,15303.671
702,516.5,15443.5838,15298.322
703,516.5416667,15437.812280000002,15292.307
704,516.5833333,15430.42623,15285.819
705,516.625,15421.54986,15277.934
706,516.6666667,15413.4544,15268.929
707,516.7083333,15405.255319999998,15261.17
708,516.75,15395.37566,15253.588
709,516.7916667,15384.08848,15243.649
710,516.8333333,15373.125580000002,15232.495
711,516.875,15362.41324,15222.09
712,516.9166667,15351.25081,15211.434
713,516.9583333,15341.1322,15200.636
714,517.0,15331.0939,15191.18
715,517.0416667,15320.68206,15181.364
716,517.0833333,15310.09005,15171.121
717,517.125,15299.86906,15160.839
718,517.1666667,15289.025769999998,15150.703
