,Time (d),NH4_meas_Pearson (gN/m3),NH4_pred_Pearson (gN/m3)
1897,566.2916667000002,0.694355851,0.71766144
1898,566.3333332999998,0.68861351,0.7159503
1899,566.375,0.680848606,0.71320087
1900,566.4166667000002,0.672013512,0.71310556
1901,566.4583332999998,0.662756759,0.71056604
1902,566.5,0.654020811,0.70743006
1903,566.5416667000002,0.647948848,0.70333993
1904,566.5833332999998,0.646751859,0.6968131
1905,566.625,0.651491655,0.6921237
1906,566.6666667000002,0.661168301,0.69252956
1907,566.7083332999998,0.672484002,0.698955
1908,566.75,0.6810528809999999,0.7104626
1909,566.7916667000002,0.683571547,0.72064316
1910,566.8333332999998,0.67986681,0.72529256
1911,566.875,0.672503483,0.7269769
1912,566.9166667000002,0.665345309,0.72417843
1913,566.9583332999998,0.66148692,0.7151328
1914,567.0,0.662814604,0.70931786
1915,567.0416667000002,0.668747049,0.71268314
1916,567.0833332999998,0.6754165659999999,0.7173161
1917,567.125,0.679542808,0.72405213
1918,567.1666667000002,0.680504323,0.72664547
1919,567.2083332999998,0.678986152,0.7248025
1920,567.25,0.675420505,0.72221303
1921,567.2916667000002,0.669481069,0.7184397
1922,567.3333332999998,0.660459241,0.71205413
1923,567.375,0.648235241,0.7079789
1924,567.4166667000002,0.633312746,0.70252734
1925,567.4583332999998,0.6173568,0.69686043
1926,567.5,0.603078259,0.684447
1927,567.5416667000002,0.593687866,0.67226386
1928,567.5833332999998,0.591666096,0.66375387
1929,567.625,0.5967850889999999,0.6592599
1930,567.6666667000002,0.607045928,0.66302687
1931,567.7083332999998,0.61928892,0.6761067
1932,567.75,0.62983142,0.694215
1933,567.7916667000002,0.638270211,0.70945424
1934,567.8333332999998,0.648958238,0.7235843
1935,567.875,0.667293289,0.7337967
1936,567.9166667000002,0.6968099870000001,0.74987483
1937,567.9583332999998,0.7354714359999999,0.77763927
1938,568.0,0.775521448,0.8114748
1939,568.0416667000002,0.811081739,0.8440975
1940,568.0833332999998,0.840085326,0.8710598
1941,568.125,0.859950931,0.89165807
1942,568.1666667000002,0.866662085,0.9053021
1943,568.2083332999998,0.8569375959999999,0.9113001
1944,568.25,0.832405391,0.9018286
1945,568.2916667000002,0.799522795,0.87683374
1946,568.3333332999998,0.765519254,0.8467224
1947,568.375,0.7336582629999999,0.8152859
1948,568.4166667000002,0.70365848,0.7879155
1949,568.4583332999998,0.67563176,0.76471984
1950,568.5,0.6514800470000001,0.7399773
1951,568.5416667000002,0.634360674,0.7148791
1952,568.5833332999998,0.627712544,0.69948137
1953,568.625,0.630838442,0.6905516
1954,568.6666667000002,0.640199405,0.6896194
1955,568.7083332999998,0.65203796,0.6934931
1956,568.75,0.662682578,0.69947076
1957,568.7916667000002,0.669109572,0.70581746
1958,568.8333332999998,0.669880926,0.70893717
1959,568.875,0.6653230920000001,0.71095455
1960,568.9166667000002,0.65775736,0.7096889
1961,568.9583332999998,0.651076101,0.7020565
1962,569.0,0.649272744,0.6932816
1963,569.0416667000002,0.6538162710000001,0.6875798
1964,569.0833332999998,0.662465551,0.6905994
1965,569.125,0.670568859,0.69732404
1966,569.1666667000002,0.675084978,0.70086503
1967,569.2083332999998,0.6758720220000001,0.7025714
1968,569.25,0.6736656959999999,0.69905883
1969,569.2916667000002,0.66873396,0.69272906
1970,569.3333332999998,0.660996967,0.68521935
1971,569.375,0.650231242,0.67959666
