,Time (d),Biogas_meas_Pearson_NPC (m3/d),Biogas_pred_Pearson_NPC (m3/d)
464,501.75,14253.88463,14487.179
465,501.78125,14263.08834,14477.923
466,501.8125,14272.94322,14474.074
467,501.84375,14282.43036,14473.404
468,501.875,14291.92195,14472.191
469,501.90625,14301.48299,14471.343
470,501.9375,14311.06176,14468.636
471,501.96875,14320.73803,14467.171
472,502.0,14330.74459,14468.835
473,502.03125,14340.72233,14472.976
474,502.0625,14350.89806,14482.574
475,502.09375,14360.56304,14495.254
476,502.125,14369.928919999997,14508.242
477,502.15625,14378.76876,14521.371
478,502.1875,14387.00815,14532.688
479,502.21875,14394.875419999997,14544.176
480,502.25,14402.13944,14558.695
481,502.28125,14409.1049,14574.9375
482,502.3125,14415.063369999998,14587.014
483,502.34375,14420.99871,14594.2
484,502.375,14427.00235,14589.657
485,502.40625,14432.53849,14568.103
486,502.4375,14437.15873,14545.258
487,502.46875,14441.38476,14534.722
488,502.5,14446.16955,14538.696
489,502.53125,14451.14211,14551.803
490,502.5625,14456.24062,14566.934
491,502.59375,14460.9694,14583.116
492,502.625,14465.023319999998,14594.094
493,502.65625,14468.65235,14591.609
494,502.6875,14472.11292,14582.738
495,502.71875,14474.98969,14571.657
496,502.75,14478.23104,14555.952
497,502.78125,14480.99236,14536.75
498,502.8125,14484.219,14525.798
499,502.84375,14487.00015,14526.925
500,502.875,14488.99729,14527.608
501,502.90625,14490.332730000002,14517.356
502,502.9375,14491.63439,14507.541
503,502.96875,14492.89053,14501.59
504,503.0,14494.2358,14501.831
505,503.03125,14495.4456,14510.502
506,503.0625,14495.71117,14518.008
507,503.09375,14495.61834,14521.898
508,503.125,14494.42805,14525.333
509,503.15625,14493.07159,14529.514
510,503.1875,14491.20139,14532.931
511,503.21875,14488.38214,14535.9795
512,503.25,14484.86883,14539.348
513,503.28125,14480.92603,14542.203
514,503.3125,14474.74061,14544.361
515,503.34375,14468.47853,14544.554
516,503.375,14461.12631,14533.763
517,503.40625,14454.14187,14508.198
518,503.4375,14446.5454,14489.131
519,503.46875,14437.988,14484.455
520,503.5,14429.09393,14486.573
521,503.53125,14419.90087,14486.846
522,503.5625,14410.71143,14487.213
523,503.59375,14401.32384,14486.104
524,503.625,14392.05014,14484.157
525,503.65625,14382.82778,14486.273
526,503.6875,14373.51096,14490.425
527,503.71875,14364.01211,14489.516
528,503.75,14354.917119999998,14480.576
529,503.78125,14345.64315,14467.2295
530,503.8125,14336.42437,14455.178
531,503.84375,14327.77984,14447.372
532,503.875,14319.95433,14443.999
533,503.90625,14312.94948,14444.572
534,503.9375,14306.30629,14448.284
535,503.96875,14299.7611,14451.65
536,504.0,14293.25032,14452.251
537,504.03125,14287.0581,14450.921
538,504.0625,14281.21319,14449.699
539,504.09375,14276.09803,14449.996
540,504.125,14270.941519999997,14451.796
541,504.15625,14266.86645,14455.723
542,504.1875,14262.92985,14465.921
543,504.21875,14258.67266,14477.825
544,504.25,14253.705580000002,14485.872
545,504.28125,14248.78732,14490.482
546,504.3125,14243.57071,14491.471
547,504.34375,14238.36399,14488.453
548,504.375,14233.71143,14476.127
549,504.40625,14229.51255,14453.314
550,504.4375,14225.673819999998,14435.894
551,504.46875,14222.123419999998,14429.475
552,504.5,14219.09537,14430.269
553,504.53125,14216.78934,14433.436
554,504.5625,14214.9294,14437.604
555,504.59375,14213.585319999998,14441.42
556,504.625,14212.53424,14442.652
557,504.65625,14212.31813,14441.581
558,504.6875,14212.86309,14443.238
559,504.71875,14213.66615,14443.109
560,504.75,14215.36564,14437.814
561,504.78125,14218.579719999998,14431.72
562,504.8125,14222.15874,14428.693
563,504.84375,14226.15536,14426.992
564,504.875,14231.75362,14426.949
565,504.90625,14238.35083,14430.547
566,504.9375,14245.13876,14433.84
567,504.96875,14254.05055,14437.122
568,505.0,14263.461130000003,14442.551
569,505.03125,14273.45881,14449.899
570,505.0625,14283.32528,14457.151
571,505.09375,14293.972419999998,14462.266
572,505.125,14304.81746,14465.78
573,505.15625,14316.17075,14469.842
574,505.1875,14327.35963,14475.834
575,505.21875,14338.27863,14481.995
576,505.25,14348.98778,14488.123
577,505.28125,14359.72217,14497.534
578,505.3125,14370.32562,14514.17
579,505.34375,14380.2289,14529.148
580,505.375,14388.985680000002,14521.722
581,505.40625,14397.70221,14491.115
582,505.4375,14406.7488,14470.216
583,505.46875,14416.92975,14468.852
584,505.5,14427.55755,14482.222
585,505.53125,14437.46963,14499.555
586,505.5625,14446.56054,14503.809
587,505.59375,14456.07179,14500.209
588,505.625,14466.34683,14501.576
589,505.65625,14476.656530000002,14509.9795
590,505.6875,14486.75586,14515.953
591,505.71875,14496.37165,14514.05
592,505.75,14506.38827,14502.856
593,505.78125,14516.31946,14486.29
594,505.8125,14526.4491,14475.546
595,505.84375,14536.19392,14470.0625
596,505.875,14545.562219999998,14464.323
597,505.90625,14554.791680000002,14456.525
598,505.9375,14564.14616,14449.41
599,505.96875,14573.47908,14447.334
600,506.0,14583.05995,14450.369
601,506.03125,14592.33557,14455.402
602,506.0625,14600.90719,14461.445
603,506.09375,14609.01675,14465.868
604,506.125,14616.80361,14469.61
605,506.15625,14624.37169,14476.822
606,506.1875,14631.5222,14487.742
607,506.21875,14637.75205,14497.51
608,506.25,14643.23498,14503.747
609,506.28125,14648.13978,14508.203
610,506.3125,14652.36225,14511.504
611,506.34375,14655.88091,14511.395
612,506.375,14658.6323,14496.422
613,506.40625,14660.64493,14464.771
614,506.4375,14662.3828,14440.913
615,506.46875,14663.92935,14432.857
616,506.5,14664.62782,14433.261
617,506.53125,14665.25304,14433.606
618,506.5625,14665.46286,14434.549
619,506.59375,14665.15774,14433.908
