,Time (d),NH4_meas_Pearson_NPC (gN/m3),NH4_pred_Pearson_NPC (gN/m3)
466,501.8125,0.76097547,0.791433
467,501.84375,0.7659602859999999,0.7988367
468,501.875,0.768402365,0.80636734
469,501.90625,0.7700511790000001,0.8123491
470,501.9375,0.773022325,0.8167491
471,501.96875,0.7786253839999999,0.8209824
472,502.0,0.7866516819999999,0.82375723
473,502.03125,0.7956822370000002,0.82471484
474,502.0625,0.8036708220000001,0.82452905
475,502.09375,0.8088025099999999,0.8228093
476,502.125,0.8102551709999998,0.82056504
477,502.15625,0.8082036999999999,0.8183613
478,502.1875,0.803499577,0.8140243
479,502.21875,0.7969349790000001,0.81001234
480,502.25,0.7888845,0.8056496
481,502.28125,0.779340933,0.80046266
482,502.3125,0.7680462809999999,0.79455554
483,502.34375,0.75469801,0.7888684
484,502.375,0.739175977,0.7810408
485,502.40625,0.721929444,0.7675483
486,502.4375,0.7038307309999999,0.7525469
487,502.46875,0.686196459,0.74244463
488,502.5,0.670796808,0.73812073
489,502.53125,0.659425299,0.7360472
490,502.5625,0.6530040420000001,0.7348244
491,502.59375,0.651471088,0.7343044
492,502.625,0.654044899,0.7332414
493,502.65625,0.6598768,0.73337185
494,502.6875,0.668152477,0.7361791
495,502.71875,0.677602988,0.7392126
496,502.75,0.68626705,0.7408027
497,502.78125,0.691994375,0.7414588
498,502.8125,0.693223817,0.7440452
499,502.84375,0.689492786,0.749393
500,502.875,0.681874814,0.75370705
501,502.90625,0.672402169,0.75775313
502,502.9375,0.663364956,0.762875
503,502.96875,0.656481794,0.76584554
504,503.0,0.652114747,0.7672745
505,503.03125,0.649683395,0.7657287
506,503.0625,0.648174571,0.7612197
507,503.09375,0.646791529,0.7568675
508,503.125,0.645185154,0.7529558
509,503.15625,0.6431627010000001,0.7492487
510,503.1875,0.640455286,0.7465889
511,503.21875,0.636796299,0.74368393
512,503.25,0.632067406,0.739727
513,503.28125,0.626322374,0.7351769
514,503.3125,0.619745538,0.7302726
515,503.34375,0.612536792,0.7245727
516,503.375,0.604853805,0.71445936
517,503.40625,0.596766189,0.6965382
518,503.4375,0.588422252,0.6784502
519,503.46875,0.580119597,0.667479
520,503.5,0.57219846,0.66352534
521,503.53125,0.564997061,0.6630089
522,503.5625,0.559005297,0.6638454
523,503.59375,0.554623277,0.6634726
524,503.625,0.551890518,0.6636764
525,503.65625,0.5506748,0.6658437
526,503.6875,0.550686207,0.6702668
527,503.71875,0.5514849789999999,0.673873
528,503.75,0.552672556,0.675822
529,503.78125,0.554000307,0.67712367
530,503.8125,0.555320219,0.6805837
531,503.84375,0.55653046,0.68690825
532,503.875,0.5575687220000001,0.6956292
533,503.90625,0.55840688,0.7061125
534,503.9375,0.559056233,0.715408
535,503.96875,0.559603081,0.72267014
536,504.0,0.560275191,0.72796506
537,504.03125,0.561415126,0.73049283
538,504.0625,0.563328237,0.731135
539,504.09375,0.56608983,0.7308043
540,504.125,0.569475327,0.7300231
541,504.15625,0.573090963,0.7299778
542,504.1875,0.576379044,0.7310628
543,504.21875,0.578759557,0.73044145
544,504.25,0.579934294,0.72939414
545,504.28125,0.579960007,0.7292074
546,504.3125,0.579137056,0.7295877
547,504.34375,0.577778566,0.729098
548,504.375,0.576055897,0.7228936
549,504.40625,0.573972341,0.7071005
550,504.4375,0.5714258560000001,0.69081956
551,504.46875,0.568357441,0.68360305
552,504.5,0.564923763,0.68566513
553,504.53125,0.56165052,0.6909949
554,504.5625,0.559330997,0.69439757
555,504.59375,0.558732859,0.6959364
556,504.625,0.560304203,0.6979285
557,504.65625,0.564219609,0.70265406
558,504.6875,0.570327001,0.7098563
559,504.71875,0.577977719,0.7151579
560,504.75,0.586458529,0.71927863
561,504.78125,0.595042839,0.723027
562,504.8125,0.603023092,0.7290153
563,504.84375,0.610005765,0.73698545
564,504.875,0.616258381,0.7469011
565,504.90625,0.6225721120000001,0.75663716
566,504.9375,0.6300641,0.7641196
567,504.96875,0.639912988,0.77212685
568,505.0,0.65318809,0.7794084
569,505.03125,0.670480011,0.7839185
570,505.0625,0.6915035340000001,0.78694767
571,505.09375,0.7153219679999999,0.78895146
572,505.125,0.7407917829999999,0.79097384
573,505.15625,0.766253052,0.7937152
574,505.1875,0.789005663,0.7966791
575,505.21875,0.805961154,0.7981824
576,505.25,0.8149329909999998,0.7985926
577,505.28125,0.814972756,0.79860103
578,505.3125,0.8062152190000001,0.7978272
579,505.34375,0.7901255429999999,0.7943224
580,505.375,0.7693080720000001,0.7845498
581,505.40625,0.7464612070000001,0.7659337
582,505.4375,0.724227979,0.74707854
583,505.46875,0.7046210270000001,0.7368826
584,505.5,0.6885855609999999,0.7358791
585,505.53125,0.677208178,0.73658615
586,505.5625,0.671889803,0.7349389
587,505.59375,0.67451531,0.7340283
588,505.625,0.6866597520000001,0.73576844
589,505.65625,0.707067682,0.7400677
590,505.6875,0.7311495379999999,0.7454799
591,505.71875,0.753996171,0.7518192
592,505.75,0.772559326,0.7572326
593,505.78125,0.7857308140000001,0.76133317
594,505.8125,0.7932812920000001,0.76692796
595,505.84375,0.7955403940000001,0.7735459
596,505.875,0.7936942490000001,0.7792455
597,505.90625,0.7896528,0.7838984
598,505.9375,0.785351354,0.7884736
599,505.96875,0.7819159869999999,0.7926859
600,506.0,0.7792246959999999,0.79493636
601,506.03125,0.776330203,0.7953209
602,506.0625,0.7724868,0.79515374
603,506.09375,0.7676957520000002,0.79395545
604,506.125,0.762417455,0.792499
605,506.15625,0.757090948,0.790548
606,506.1875,0.751725358,0.787691
607,506.21875,0.7458359390000001,0.78370315
608,506.25,0.738858219,0.7797161
609,506.28125,0.7305682170000001,0.7758624
610,506.3125,0.72095887,0.7717439
611,506.34375,0.710053025,0.7675624
612,506.375,0.698004886,0.75762564
613,506.40625,0.6848888340000001,0.7368594
614,506.4375,0.670915487,0.71439403
615,506.46875,0.656681554,0.7007702
616,506.5,0.642967011,0.69583195
617,506.53125,0.630318621,0.69442886
618,506.5625,0.619419687,0.6943676
619,506.59375,0.610964555,0.6940072
620,506.625,0.605174625,0.69536555
621,506.65625,0.601967956,0.6988984
622,506.6875,0.600997106,0.7040619
623,506.71875,0.601751441,0.71023744
624,506.75,0.603656799,0.71538526
625,506.78125,0.6061022970000001,0.718383
626,506.8125,0.6085527279999999,0.7227748
627,506.84375,0.610814057,0.7299821
628,506.875,0.6131682039999999,0.7379307
629,506.90625,0.616255393,0.7461046
630,506.9375,0.62071518,0.75438493
631,506.96875,0.626837568,0.76055926
632,507.0,0.634698565,0.7654911
633,507.03125,0.644161376,0.76902205
634,507.0625,0.65476698,0.7721118
635,507.09375,0.665728955,0.7750068
636,507.125,0.6762836309999999,0.7768186
637,507.15625,0.686186214,0.7779531
638,507.1875,0.695590987,0.77871054
639,507.21875,0.7045478559999999,0.77896714
640,507.25,0.712621174,0.7791787
641,507.28125,0.718916587,0.7796926
642,507.3125,0.722480612,0.77978605
643,507.34375,0.7224846690000001,0.77861536
644,507.375,0.7185798449999999,0.76980215
645,507.40625,0.71114822,0.7500974
646,507.4375,0.70101353,0.7295788
647,507.46875,0.689455637,0.71761274
648,507.5,0.677794793,0.71479684
649,507.53125,0.6670837789999999,0.7158078
650,507.5625,0.658032352,0.71708333
651,507.59375,0.651151348,0.71925795
652,507.625,0.646805235,0.7218316
653,507.65625,0.6449728379999999,0.7248482
654,507.6875,0.6452890689999999,0.72964144
655,507.71875,0.647300242,0.7348326
656,507.75,0.650677982,0.7381072
657,507.78125,0.655112323,0.7390924
658,507.8125,0.6602971910000001,0.74152696
659,507.84375,0.665979459,0.747085
660,507.875,0.672129509,0.7558441
661,507.90625,0.678914593,0.7658859
662,507.9375,0.68643481,0.7741392
663,507.96875,0.6944722759999999,0.77958417
664,508.0,0.70259209,0.7832353
665,508.03125,0.7103716720000001,0.78549194
666,508.0625,0.717293142,0.7867727
667,508.09375,0.722788605,0.78690565
668,508.125,0.726502735,0.787873
669,508.15625,0.728321275,0.7893988
670,508.1875,0.728478691,0.78924805
671,508.21875,0.727249412,0.78802353
672,508.25,0.7248181709999999,0.7868902
673,508.28125,0.721279392,0.7851465
674,508.3125,0.71668132,0.78216386
675,508.34375,0.711015575,0.7781178
676,508.375,0.7042596440000001,0.7696772
677,508.40625,0.6964904940000001,0.7526511
678,508.4375,0.687913305,0.73507637
679,508.46875,0.678801037,0.7251445
680,508.5,0.669481412,0.7231712
681,508.53125,0.660562137,0.7250002
682,508.5625,0.652914856,0.72725797
683,508.59375,0.647436866,0.72886217
684,508.625,0.644754078,0.7300924
685,508.65625,0.645097309,0.7326846
686,508.6875,0.648309027,0.73784107
687,508.71875,0.653923876,0.74337417
688,508.75,0.661149888,0.7467768
689,508.78125,0.668937269,0.7477031
690,508.8125,0.676374757,0.7505789
691,508.84375,0.682889372,0.7588671
692,508.875,0.688130302,0.7697849
693,508.90625,0.692026933,0.7795358
694,508.9375,0.6950144859999999,0.7859432
695,508.96875,0.6980952890000001,0.7911236
696,509.0,0.7025918440000001,0.7961199
697,509.03125,0.7094529270000001,0.79878306
698,509.0625,0.7186310099999998,0.79896134
699,509.09375,0.729265403,0.7993183
700,509.125,0.7399154329999998,0.800341
701,509.15625,0.7489474909999999,0.8008586
702,509.1875,0.7554002679999998,0.8001783
703,509.21875,0.759280231,0.7996994
704,509.25,0.761214188,0.79882455
