,Time (d),COD_meas_GA (gCOD/m3),COD_pred_GA (gCOD/m3)
854,540.6875,50.244292658999996,52.142406
855,540.75,50.178576616,51.939243
856,540.8125,50.21167669,51.97257
857,540.875,50.21969287500001,52.08037
858,540.9375,50.12771132899999,52.13515
859,541.0,50.12546510999999,52.08213
860,541.0625,50.084560227,52.114487
861,541.125,49.95437547099999,52.08198
862,541.1875,49.855486951,51.931477
863,541.25,49.770575068999996,51.788795
864,541.3125,49.70868008,51.65293
865,541.375,49.886311066,51.544254
866,541.4375,50.35559593400001,51.799564
867,541.5,50.50686673999999,52.2717
868,541.5625,50.627852196999996,52.420013
869,541.625,50.969048391,52.62013
870,541.6875,51.35526723700003,52.970764
871,541.75,51.767648413,53.32986
872,541.8125,52.156064824,53.770992
873,541.875,52.477676597,54.116024
874,541.9375,52.920595438000014,54.41506
875,542.0,53.14437399900001,54.837757
876,542.0625,53.194038935,55.018017
877,542.125,53.30521985100001,55.021133
878,542.1875,53.41916072500002,55.05244
879,542.25,53.448540118000004,55.07191
880,542.3125,53.4884074,54.990658
881,542.375,53.748077736999996,54.928
882,542.4375,54.125917006,55.14651
883,542.5,54.24787780900001,55.462605
884,542.5625,54.189461724000004,55.58025
885,542.625,54.243683076,55.590843
886,542.6875,54.39632934200001,55.67122
887,542.75,54.438313737,55.83153
888,542.8125,54.727327256,55.88938
889,542.875,54.877612979000006,56.153778
890,542.9375,54.76720756,56.26908
891,543.0,54.61688640999999,56.16088
892,543.0625,54.57126503,56.005104
893,543.125,54.57174629599999,55.924152
894,543.1875,54.519726946,55.86202
895,543.25,54.52919093500001,55.724182
896,543.3125,54.593312213,55.642017
897,543.375,54.563711734,55.588634
898,543.4375,54.69044808899999,55.489353
899,543.5,54.815599578000004,55.549507
900,543.5625,54.925353167000004,55.70653
901,543.625,55.03427699699999,55.900238
902,543.6875,55.099029751,56.063667
903,543.75,55.10930007999999,56.160717
904,543.8125,55.212417007000006,56.196358
905,543.875,55.493712931999994,56.29929
906,543.9375,55.56029905000001,56.555367
907,544.0,55.44355580899999,56.607452
908,544.0625,55.240608121,56.476208
909,544.125,55.08483682800002,56.234875
910,544.1875,55.081663218,56.020325
911,544.25,54.72521921300001,55.901966
912,544.3125,54.46263714100001,55.455498
913,544.375,54.550244117,55.100735
914,544.4375,54.641134855,55.10667
915,544.5,54.43611175000001,55.156403
916,544.5625,54.088459513000004,55.009045
917,544.625,53.685171845,54.7588
918,544.6875,53.218233739,54.422417
919,544.75,52.827159356,54.017776
920,544.8125,52.600742456999996,53.723846
