,Time (d),NH4_meas (gNm3),NH4_pred (gN/m3)
473,516.875,0.6237524489999999,0.612051
474,516.9375,0.62118979,0.6076504
475,517.0,0.619579955,0.6061816
476,517.0625,0.6188325889999999,0.60497373
477,517.125,0.619194152,0.6024087
478,517.1875,0.620708766,0.5997935
479,517.25,0.622060453,0.5972064
480,517.3125,0.621742551,0.59494627
481,517.375,0.618642945,0.5928868
482,517.4375,0.6120369729999999,0.59326786
483,517.5,0.6024000820000001,0.5940081
484,517.5625,0.592483485,0.5881162
485,517.625,0.586416526,0.5813182
486,517.6875,0.586064505,0.57611024
487,517.75,0.5899719489999999,0.5755491
488,517.8125,0.595411864,0.5779459
489,517.875,0.600001779,0.5856241
490,517.9375,0.602719051,0.5912166
491,518.0,0.6058348689999999,0.59252274
492,518.0625,0.6113585229999999,0.5979485
493,518.125,0.618248771,0.60141945
494,518.1875,0.625704256,0.60850364
495,518.25,0.6319271089999999,0.613531
496,518.3125,0.635780529,0.6162008
497,518.375,0.635561331,0.62480944
498,518.4375,0.628932696,0.6347277
499,518.5,0.620135366,0.6431062
500,518.5625,0.620016376,0.63575006
501,518.625,0.636258394,0.63449496
502,518.6875,0.660328847,0.6491949
503,518.75,0.681352005,0.6673214
504,518.8125,0.69666313,0.6858283
505,518.875,0.705338809,0.7049532
506,518.9375,0.712314853,0.71406895
507,519.0,0.728713823,0.71776205
508,519.0625,0.752926346,0.7347468
509,519.125,0.7751680270000001,0.7485504
510,519.1875,0.7921543909999998,0.758328
511,519.25,0.7957055579999999,0.7635847
512,519.3125,0.7790871949999999,0.76390964
513,519.375,0.745578378,0.74794066
514,519.4375,0.703978153,0.72865367
515,519.5,0.666638226,0.7096216
516,519.5625,0.646305713,0.6785055
517,519.625,0.650000342,0.6569587
518,519.6875,0.667799528,0.66467494
519,519.75,0.685023185,0.6784447
520,519.8125,0.700914417,0.6927327
521,519.875,0.71535752,0.70526856
522,519.9375,0.7253548790000001,0.72580975
523,520.0,0.7383161659999998,0.7278221
524,520.0625,0.762927664,0.73916453
525,520.125,0.7859885870000001,0.75656074
526,520.1875,0.8003367670000001,0.7690044
527,520.25,0.8032655470000001,0.77181935
528,520.3125,0.7898626870000001,0.76663446
529,520.375,0.759332571,0.75665945
530,520.4375,0.717288832,0.73637915
531,520.5,0.677254775,0.72049874
532,520.5625,0.655141004,0.68849623
533,520.625,0.662153051,0.6699515
534,520.6875,0.68826741,0.6722291
535,520.75,0.714953835,0.6924556
536,520.8125,0.7320819320000002,0.7119802
537,520.875,0.738559275,0.72735065
538,520.9375,0.7391127030000001,0.7354643
539,521.0,0.744075679,0.73545265
540,521.0625,0.7586232629999999,0.73975223
541,521.125,0.7774434570000001,0.7530162
542,521.1875,0.79437973,0.7626399
543,521.25,0.8042140759999999,0.7712434
544,521.3125,0.7977846,0.77676004
545,521.375,0.773481325,0.7684694
546,521.4375,0.73897747,0.74917376
547,521.5,0.703318034,0.7213513
548,521.5625,0.6739633509999999,0.69164884
549,521.625,0.6564575460000001,0.6662129
550,521.6875,0.651067752,0.6495187
551,521.75,0.653333456,0.64456946
552,521.8125,0.657102199,0.6514667
553,521.875,0.660868269,0.6553896
554,521.9375,0.668641351,0.6610304
555,522.0,0.682238969,0.66674364
556,522.0625,0.7001363979999999,0.6749663
557,522.125,0.717781098,0.6859257
558,522.1875,0.729542004,0.6941611
559,522.25,0.73103993,0.70452857
560,522.3125,0.7213912659999999,0.7049059
561,522.375,0.705367765,0.695925
562,522.4375,0.686264852,0.69662267
563,522.5,0.667374111,0.68596137
564,522.5625,0.658313865,0.6712699
565,522.625,0.662746622,0.6613163
566,522.6875,0.675324622,0.6639306
567,522.75,0.688739324,0.67737037
568,522.8125,0.699782728,0.68881565
569,522.875,0.710830932,0.7003962
570,522.9375,0.723449263,0.71384805
571,523.0,0.740071136,0.7242005
572,523.0625,0.7644135999999999,0.7346493
573,523.125,0.7890349620000001,0.75247294
574,523.1875,0.802223342,0.76665235
575,523.25,0.801621039,0.77022415
576,523.3125,0.787120479,0.76264215
577,523.375,0.759554694,0.74542207
578,523.4375,0.72173578,0.7292433
579,523.5,0.682896552,0.7099525
580,523.5625,0.655140323,0.6777664
581,523.625,0.644342162,0.64971024
582,523.6875,0.644647359,0.63838047
583,523.75,0.646441454,0.6323197
584,523.8125,0.645390448,0.62865347
585,523.875,0.6402885420000001,0.6284351
586,523.9375,0.631881493,0.6288196
587,524.0,0.624561011,0.62237203
588,524.0625,0.6227640170000001,0.61653394
589,524.125,0.625783175,0.6108008
590,524.1875,0.63018467,0.60882145
591,524.25,0.6322680270000001,0.60824686
592,524.3125,0.63026473,0.60559535
593,524.375,0.623926248,0.6030926
594,524.4375,0.613386192,0.60456413
595,524.5,0.600654561,0.6011269
596,524.5625,0.5901893579999999,0.5897688
597,524.625,0.5851942489999999,0.5793312
598,524.6875,0.585209874,0.5748099
599,524.75,0.587202055,0.5746742
600,524.8125,0.58907754,0.5754427
601,524.875,0.590228509,0.57901365
602,524.9375,0.590661911,0.58101016
603,525.0,0.591683359,0.5828574
604,525.0625,0.594780003,0.582464
605,525.125,0.600072991,0.5842287
606,525.1875,0.605451063,0.5874734
607,525.25,0.609285384,0.58842075
608,525.3125,0.611003885,0.589762
609,525.375,0.609520549,0.5912464
610,525.4375,0.603551551,0.59800965
611,525.5,0.5944364289999999,0.60280126
612,525.5625,0.588449204,0.59655493
613,525.625,0.5920714260000001,0.5918863
614,525.6875,0.604397485,0.5943164
615,525.75,0.61945052,0.6039439
616,525.8125,0.6330734,0.6172352
617,525.875,0.643075305,0.63587743
618,525.9375,0.653087318,0.64327484
619,526.0,0.67070862,0.64961314
620,526.0625,0.693524809,0.6641962
621,526.125,0.713498706,0.6815625
622,526.1875,0.727575452,0.69497484
623,526.25,0.736465068,0.7041145
624,526.3125,0.737536456,0.7101254
625,526.375,0.728424176,0.71539587
626,526.4375,0.7111727640000001,0.7179529
627,526.5,0.6947553040000001,0.7144757
628,526.5625,0.691843751,0.6996086
629,526.625,0.708659128,0.69394857
630,526.6875,0.7350894379999999,0.7085425
631,526.75,0.756849405,0.73314977
